customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00000,Male,0,Yes,No,43,Yes,Yes,DSL,Yes,No,No,No,No,No internet service,Month-to-month,No,Electronic check,58.76,8351.89,No
CUST-00001,Female,1,Yes,Yes,69,Yes,No,DSL,No,Yes,Yes,No,No internet service,Yes,Two year,No,Bank transfer (automatic),40.45,8437.89,No
CUST-00002,Male,0,No,Yes,63,Yes,Yes,Fiber optic,No internet service,No,No,No internet service,Yes,No,Month-to-month,No,Mailed check,64.23,7672.44,No
CUST-00003,Male,0,Yes,No,70,Yes,No,DSL,No,No,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),104.41,3201.67,No
CUST-00004,Male,0,Yes,No,65,Yes,Yes,Fiber optic,No,No internet service,No internet service,No,No,No internet service,Month-to-month,Yes,Electronic check,23.72,6128.3,No
CUST-00005,Female,1,Yes,No,67,Yes,No,No,Yes,Yes,No,Yes,No,No internet service,Month-to-month,No,Electronic check,40.76,1490.14,No
CUST-00006,Male,0,Yes,No,54,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),115.9,8080.18,Yes
CUST-00007,Male,0,No,No,36,No,Yes,DSL,No,No internet service,No,No,Yes,No,Month-to-month,No,Mailed check,97.69,3962.93,No
CUST-00008,Male,0,No,No,71,No,No phone service,DSL,No,No,No,No,Yes,No internet service,Two year,No,Mailed check,46.23,4947.07,No
CUST-00009,Female,0,No,No,15,No,Yes,Fiber optic,No,No internet service,Yes,No,Yes,No,Month-to-month,No,Mailed check,102.5,3354.37,No
CUST-00010,Male,0,No,No,18,Yes,No,Fiber optic,Yes,No,Yes,No internet service,Yes,No,Month-to-month,No,Credit card (automatic),32.75,3611.34,No
CUST-00011,Male,0,No,No,4,Yes,No phone service,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,85.26,3264.61,No
CUST-00012,Male,0,No,No,11,Yes,No,DSL,No internet service,No,No,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),38.28,4144.24,No
CUST-00013,Male,0,No,No,6,Yes,No,DSL,No,Yes,No internet service,No,No,Yes,Month-to-month,Yes,Electronic check,71.62,7466.64,No
CUST-00014,Female,0,Yes,No,51,Yes,Yes,DSL,No internet service,No,Yes,No,No internet service,No,Month-to-month,Yes,Credit card (automatic),81.76,7341.55,No
CUST-00015,Male,0,No,No,58,Yes,Yes,Fiber optic,No,Yes,No,Yes,No internet service,No internet service,Two year,No,Credit card (automatic),91.98,2941.87,No
CUST-00016,Female,0,No,Yes,60,Yes,Yes,No,No internet service,No,No,No internet service,Yes,No,Month-to-month,Yes,Bank transfer (automatic),109.38,1006.86,No
CUST-00017,Female,0,No,No,18,Yes,No phone service,No,No internet service,No internet service,No,No,Yes,No,Two year,No,Electronic check,97.99,3915.7,No
CUST-00018,Female,1,No,No,67,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,No,No internet service,No internet service,Month-to-month,No,Electronic check,48.22,65.72,Yes
CUST-00019,Male,0,Yes,Yes,17,Yes,Yes,No,No internet service,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,102.98,6501.59,No
CUST-00020,Female,1,No,No,34,Yes,Yes,No,No,No internet service,Yes,No,No internet service,No internet service,One year,Yes,Bank transfer (automatic),24.55,41.81,No
CUST-00021,Male,0,No,Yes,30,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),92.26,1806.95,No
CUST-00022,Female,0,Yes,No,19,No,Yes,Fiber optic,No,No,Yes,No internet service,No internet service,Yes,Month-to-month,No,Mailed check,66.82,1321.69,No
CUST-00023,Female,1,No,Yes,9,Yes,Yes,No,Yes,No internet service,No,No,No,No internet service,Two year,Yes,Mailed check,62.43,7587.42,No
